Name,Creator,Mission Link,Sequence Type,Series Type,Series Name,Series Index,Difficulty,Field Trip Waypoints,FT Qty,Passphrases,Trace Link
Newcastle: Along the Tyne #1,GeordieLass,https://www.ingress.com/mission/da99571837d147e5b6ef4ba1d329a520.1c,Sequential,Banner,Newcastle: Along the Tyne,1,All Capture / Upgrade,No,0,No,"https://www.ingress.com/intel?ll=54.968718,-1.605481&z=17&pls=54.968037,-1.608195,54.968381,-1.60691_54.968381,-1.60691,54.968617,-1.607652_54.968617,-1.607652,54.968796,-1.606662_54.968796,-1.606662,54.968549,-1.605947_54.968549,-1.605947,54.968887,-1.605531"
Newcastle: Along the Tyne #2,GeordieLass,https://www.ingress.com/mission/e03947b3e4ec43ebaa63f728f95d6172.1c,Sequential,Banner,Newcastle: Along the Tyne,2,All Capture / Upgrade,Yes (close),1,No,"https://www.ingress.com/intel?ll=54.969002,-1.603469&z=18&pls=54.969434,-1.60604,54.968983,-1.605171_54.968983,-1.605171,54.969134,-1.60471_54.969134,-1.60471,54.969038,-1.604296_54.969038,-1.604296,54.969369,-1.604063"
Newcastle: Along the Tyne #3,GeordieLass,https://www.ingress.com/mission/590d5b576d1d4635b9a03a28b81d9803.1c,Sequential,Banner,Newcastle: Along the Tyne,3,All Capture / Upgrade,Yes (close),1,No,"https://www.ingress.com/intel?ll=54.969449,-1.602949&z=18&pls=54.970148,-1.605159,54.969943,-1.604688_54.969943,-1.604688,54.969763,-1.603231_54.969763,-1.603231,54.969757,-1.60259_54.969757,-1.60259,54.96996,-1.602121"
Newcastle: Along the Tyne #4,GeordieLass,https://www.ingress.com/mission/9913f6c6fb7c4d0e9431f17a9452d36a.1c,Sequential,Banner,Newcastle: Along the Tyne,4,All Capture / Upgrade,No,0,No,"https://www.ingress.com/intel?ll=54.969786,-1.599326&z=18&pls=54.970507,-1.601555,54.970514,-1.601222_54.970514,-1.601222,54.970327,-1.600718_54.970327,-1.600718,54.970534,-1.60017_54.970534,-1.60017,54.97011,-1.600083_54.97011,-1.600083,54.969177,-1.599455"
Newcastle: Along the Tyne #5,GeordieLass,https://www.ingress.com/mission/b6dff63a2c1b4bce95dccb273bb81093.1c,Sequential,Banner,Newcastle: Along the Tyne,5,All Capture / Upgrade,Yes (close),1,No,"https://www.ingress.com/intel?ll=54.969666,-1.597458&z=18&pls=54.969466,-1.597528,54.969359,-1.598244_54.969359,-1.598244,54.969097,-1.598528_54.969097,-1.598528,54.970661,-1.599889_54.970661,-1.599889,54.970711,-1.59957"
Newcastle: Along the Tyne #6,GeordieLass,https://www.ingress.com/mission/915df230f1d74377a16e834b46587ad9.1c,Sequential,Banner,Newcastle: Along the Tyne,6,All Capture / Upgrade,No,0,No,"https://www.ingress.com/intel?ll=54.97074,-1.598146&z=19&pls=54.97064,-1.598977,54.970639,-1.598655_54.970639,-1.598655,54.970682,-1.598659_54.970682,-1.598659,54.971068,-1.59836_54.971068,-1.59836,54.970933,-1.597894_54.970933,-1.597894,54.970834,-1.597599"
Newcastle: Along the Tyne #7,GeordieLass,https://www.ingress.com/mission/829458a799154ba29c062f8afca67695.1c,Sequential,Banner,Newcastle: Along the Tyne,7,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=54.970699,-1.598366&z=19&pls=54.970834,-1.597599,54.970933,-1.597894_54.970933,-1.597894,54.971068,-1.59836_54.971068,-1.59836,54.970682,-1.598659_54.970682,-1.598659,54.97064,-1.598977_54.97064,-1.598977,54.970639,-1.598655"
Newcastle: Along the Tyne #8,GeordieLass,https://www.ingress.com/mission/049b284b5bec436e8dfcfd8426788c01.1c,Sequential,Banner,Newcastle: Along the Tyne,8,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=54.970266,-1.599383&z=19&pls=54.970711,-1.59957,54.970661,-1.599889_54.970661,-1.599889,54.970534,-1.60017_54.970534,-1.60017,54.969097,-1.598528_54.969097,-1.598528,54.969359,-1.598244_54.969359,-1.598244,54.969466,-1.597528"
Newcastle: Along the Tyne #9,GeordieLass,https://www.ingress.com/mission/a9cb219d0df04db3875d08ca208ec6e0.1c,Sequential,Banner,Newcastle: Along the Tyne,9,All Hacks,Yes (close),1,No,"https://www.ingress.com/intel?ll=54.970179,-1.601306&z=19&pls=54.969177,-1.599455,54.970327,-1.600718_54.970327,-1.600718,54.970514,-1.601222_54.970514,-1.601222,54.970507,-1.601555_54.970507,-1.601555,54.96996,-1.602121"
Newcastle: Along the Tyne #10,GeordieLass,https://www.ingress.com/mission/a76e39d203d0488ca38559819152fe44.1c,Sequential,Banner,Newcastle: Along the Tyne,10,All Hacks,Yes (close),2,No,"https://www.ingress.com/intel?ll=54.969391,-1.603706&z=19&pls=54.969757,-1.60259,54.969763,-1.603231_54.969763,-1.603231,54.969943,-1.604688_54.969943,-1.604688,54.970148,-1.605159_54.970148,-1.605159,54.969369,-1.604063"
